0.0827,0.8573,0.8759,0.1332,0.7893,0.8858,0.1204,0.7645,0.8582,0.0639,0.904,0.8846,1,0,0,1,0,0,1,0,0,1,0
0.0334,0.9279,0.8603,0.0962,0.823,0.8243,0.0661,0.8738,0.8598,0.0968,0.8215,0.9103,1,0,0,1,0,0,1,0,0,1,0
0.105,0.6348,0.9476,0.0816,0.8295,0.9196,0.1349,0.7158,0.8705,0.0682,0.7876,0.9299,1,0,0,1,0,0,1,0,0,1,0
0.1115,0.7405,0.9955,0.102,0.8101,0.9281,0.1084,0.7408,0.8622,0.1179,0.8027,0.9092,1,0,0,1,0,0,1,0,0,1,0
0.0541,0.8141,0.9906,0.0455,0.8153,0.8883,0.1756,0.9085,0.8946,0.0791,0.8793,0.9397,1,0,0,1,0,0,1,0,0,1,0
0.1476,0.8422,0.992,0.0915,0.7502,0.8765,0.0474,0.6864,0.8831,0.0872,0.6911,0.9808,1,0,0,1,0,0,1,0,0,1,0
0.1476,0.7557,0.8892,0.0272,0.7354,0.8509,0.0615,0.6839,0.9639,0.0391,0.8783,0.8975,1,0,0,1,0,0,1,0,0,1,0
0.0985,0.8239,0.9201,0.1587,0.7302,1,0.0572,0.7224,0.8848,0.0556,0.7291,0.8811,1,0,0,1,0,0,1,0,0,1,0
0.1131,0.7019,0.8952,0.0814,0.8112,0.9644,0.1024,0.691,0.9094,0.2,0.7715,0.8601,1,0,0,1,0,0,1,0,0,1,0
0.107,0.7848,0.8999,0.1293,0.8487,0.9038,0.1395,0.856,0.8876,0.1738,0.7886,0.9071,1,0,0,1,0,0,1,0,0,1,0
0.0925,0.7759,0.8827,0.1783,0.7929,0.8994,0.1959,0.8331,0.9136,0.0846,0.6947,0.8998,1,0,0,1,0,0,1,0,0,1,0
0.129,0.8766,0.8922,0.0656,0.8273,0.8469,0.1096,0.8231,0.9219,0.1202,0.7512,0.8646,1,0,0,1,0,0,1,0,0,1,0
0.0765,0.7573,0.9394,0.0866,0.787,0.8796,0.1031,0.8286,0.8594,0.0678,0.8357,0.9108,1,0,0,1,0,0,1,0,0,1,0
0.1873,0.7279,0.9187,0.0764,0.8897,0.8608,0.0591,0.8473,0.8347,0.0683,0.6071,0.8963,1,0,0,1,0,0,1,0,0,1,0
0.0945,0.7286,0.8454,0.0875,0.9118,0.8467,0.1088,0.6691,0.8276,0.0777,0.9352,0.9393,1,0,0,1,0,0,1,0,0,1,0
0.1046,0.8223,0.9109,0.1387,0.6987,0.9305,0.0842,0.7619,0.8986,0.1375,0.7225,0.8838,1,0,0,1,0,0,1,0,0,1,0
0.1427,0.7403,1,0.0239,0.7912,0.9273,0.1124,0.9066,0.927,0.0935,0.9191,0.8872,1,0,0,1,0,0,1,0,0,1,0
0.1024,0.9283,0.8978,0.1443,0.8517,0.8882,0.1162,0.8077,0.8644,0.0794,0.7187,0.9325,1,0,0,1,0,0,1,0,0,1,0
0.0962,0.8459,0.9189,0.1286,0.9042,0.879,0.1583,0.7839,0.8243,0.1553,0.6259,0.8693,1,0,0,1,0,0,1,0,0,1,0
0.0667,0.8257,0.8168,0.1075,0.8917,0.8832,0.0909,0.8664,0.9887,0.0852,0.7541,0.8947,1,0,0,1,0,0,1,0,0,1,0
